21:26:14.736 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader 
21:26:14.743 [main] INFO  o.s.t.c.s.AbstractContextLoader ---- Could not detect default resource locations for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
21:26:14.743 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils ---- Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: UserRepositoryImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
21:26:14.818 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.repository.UserRepositoryImplTests 
21:26:14.875 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
21:26:14.885 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60a2630a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@29df4d43, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5dd91bca, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@40cb698e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3382f8ae, org.springframework.test.context.support.DirtiesContextTestExecutionListener@60641ec8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@75f65e45, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6eeade6c, org.springframework.test.context.event.EventPublishingTestExecutionListener@4a891c97, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@a5bd950, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4d18aa28, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@75390459, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7756c3cd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2313052e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2bd2b28e] 
21:26:15.137 [main] INFO  n.e.j.r.UserRepositoryImplTests ---- Starting UserRepositoryImplTests using Java 17.0.13 on sejal-thinkpad-e14-gen-4 with PID 73515 (started by sejal in /home/sejal/Downloads/journalApp) 
21:26:15.137 [main] INFO  n.e.j.r.UserRepositoryImplTests ---- The following 1 profile is active: "dev" 
21:26:15.644 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ---- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
21:26:15.677 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ---- Finished Spring Data repository scanning in 29 ms. Found 3 MongoDB repository interfaces. 
21:26:16.111 [main] INFO  org.mongodb.driver.client ---- MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "5.15.0-127-generic"}, "platform": "Java/Amazon.com Inc./17.0.13+11-LTS", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sejal', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@4bdf]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.1f2ay.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-buobii-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
